repo_name,total_prs,ai_related_prs,percentage
jerryjliu/llama_index,8931,416,4.66
run-llama/llama_index,8931,416,4.66
anomalyco/opencode,9632,370,3.84
sst/opencode,9632,370,3.84
agno-agi/agno,4420,280,6.33
block-open-source/goose,6366,271,4.26
block/goose,6366,271,4.26
SillyTavern/SillyTavern,2838,156,5.50
0xPlaygrounds/rig,930,132,14.19
olimorris/codecompanion.nvim,1630,131,8.04
567-labs/instructor,1470,112,7.62
instructor-ai/instructor,1470,112,7.62
jxnl/instructor,1470,112,7.62
jxnl/openai_function_call,1470,112,7.62
Azure-Samples/azure-search-openai-demo,1594,65,4.08
UKGovernmentBEIS/inspect_evals,1203,52,4.32
LadybirdBrowser/ladybird,7416,40,0.54
LadybirdWebBrowser/ladybird,7416,40,0.54
modelcontextprotocol/modelcontextprotocol,1259,35,2.78
modelcontextprotocol/specification,1259,35,2.78
huacnlee/gpui-component,1756,32,1.82
longbridge/gpui-component,1756,32,1.82
longbridgeapp/gpui-component,1756,32,1.82
polarsource/polar,8395,31,0.37
xmtp/libxmtp,2579,31,1.20
inclusionAI/AReaL,894,26,2.91
zauberzeug/nicegui,1625,17,1.05
turbowarp/extensions,1521,15,0.99
adobe/helix-website,933,11,1.18
dstackai/dstack,2094,11,0.53
crowddotdev/crowd.dev,3459,10,0.29
linuxfoundation/crowd.dev,3459,10,0.29
quantumlib/Qualtran,1268,9,0.71
sap/open-ux-tools,3528,9,0.26
containers/ramalama,2045,8,0.39
foundry-rs/foundry,8208,7,0.09
fallenbagel/jellyseerr,1270,6,0.47
nhost/nhost,2713,6,0.22
ratatui-org/ratatui,1812,6,0.33
ratatui/ratatui,1812,6,0.33
seerr-team/seerr,1270,6,0.47
tui-rs-revival/ratatui,1812,6,0.33
xmtp/xmtp-android,467,6,1.28
damus-io/damus,1263,5,0.40
topgrade-rs/topgrade,1305,5,0.38
kyu08/fzf-make,400,4,1.00
stack-auth/stack,1120,4,0.36
stack-auth/stack-auth,1120,4,0.36
tphakala/birdnet-go,1884,4,0.21
wordpress/performance,1520,4,0.26
xmtp/xmtp-react-native,579,4,0.69
bcollazo/deckgym-core,253,3,1.19
biomejs/biome,5833,3,0.05
block/elasticgraph,1087,3,0.28
diggerhq/digger,2016,3,0.15
konflux-ci/build-definitions,3401,3,0.09
paperless-ngx/paperless-ngx,4008,3,0.07
platformatic/platformatic,3676,3,0.08
streamyfin/streamyfin,744,3,0.40
sustainable-computing-io/kepler,1744,3,0.17
xmtp/xmtp-js,1261,3,0.24
alpenlabs/alpen,1514,2,0.13
chimera-linux/cports,5033,2,0.04
ClassicOldSong/Apollo,58,2,3.45
deltav-station/delta-v,4667,2,0.04
floppy/van_dam,4541,2,0.04
gethomepage/homepage,1670,2,0.12
jozu-ai/kitops,879,2,0.23
kitops-ml/kitops,879,2,0.23
lumen-oss/lux,1024,2,0.20
manyfold3d/manyfold,4541,2,0.04
reubeno/brush,896,2,0.22
rommapp/romm,1688,2,0.12
SAP/cloud-sdk-java,890,2,0.22
sap/terraform-provider-btp,908,2,0.22
xmtp/xmtp-ios,593,2,0.34
0xs34n/starknet.js,1088,1,0.09
cerbos/cerbos,2644,1,0.04
getkyo/kyo,1235,1,0.08
gobley/gobley,133,1,0.75
jovian-experiments/jovian-nixos,353,1,0.28
kubestellar/ui,1463,1,0.07
lxc/incus,2054,1,0.05
memorysafety/sudo-rs,968,1,0.10
new-frontiers-14/frontier-station-14,4208,1,0.02
openbao/openbao,2122,1,0.05
payjoin/rust-payjoin,944,1,0.11
Project-HAMi/HAMi,1039,1,0.10
seanjameshan/starknet.js,1088,1,0.09
starknet-io/starknet.js,1088,1,0.09
stjude-rust-labs/sprocket,424,1,0.24
trifectatechfoundation/sudo-rs,968,1,0.10
apple/containerization,622,0,0.00
davidcole1340/ext-php-rs,510,0,0.00
extphprs/ext-php-rs,510,0,0.00
lxc/incus-os,756,0,0.00
lxc/terraform-provider-incus,290,0,0.00
matter-labs/foundry-zksync,841,0,0.00
mcmonkeyprojects/SwarmUI,260,0,0.00
memorysafety/ntpd-rs,1865,0,0.00
motion-canvas/motion-canvas,740,0,0.00
Mrmayman/quantumlauncher,119,0,0.00
obi1kenobi/cargo-semver-check,1204,0,0.00
obi1kenobi/cargo-semver-checks,1204,0,0.00
offchainlabs/nitro,4213,0,0.00
pendulum-project/ntpd-rs,1865,0,0.00
ROCm/rocWMMA,573,0,0.00
SAP/app-studio-toolkit,429,0,0.00
SAP/btp-solution-diagrams,237,0,0.00
SAP/e-mobility-charging-stations-simulator,1682,0,0.00
sap/neonbee,662,0,0.00
sap/open-ux-odata,878,0,0.00
TheNickOfTime/handbrake-web,394,0,0.00
UI5/linter,926,0,0.00
