repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,aip_latency_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,log_aip_latency_days,prs_closed_in_bin,log_prs_closed_in_bin
gethomepage/homepage,-6,57,57,0.6666666666666666,19.993494152046782,0,JavaScript,28982,416,7026,1225,593,1,0,0,4.060443010546419,4.060443010546419,0.5108256237659906,3.0442125874412955,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,40,3.713572066704308
gethomepage/homepage,-5,37,37,0.7567567567567568,405.2513513513513,0,JavaScript,28982,416,7026,1225,593,2,0,0,3.6375861597263857,3.6375861597263857,0.5634693572514127,6.006972060041742,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,41,3.7376696182833684
gethomepage/homepage,-4,38,38,1.1578947368421053,33.7483552631579,0,JavaScript,28982,416,7026,1225,593,3,0,0,3.6635616461296463,3.6635616461296463,0.7691330875378674,3.548132240334068,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,30,3.4339872044851463
gethomepage/homepage,-3,41,41,0.4878048780487805,49.314668021680205,0,JavaScript,28982,416,7026,1225,593,4,0,0,3.737669618283368,3.737669618283368,0.3973017974690034,3.918296645364528,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,61,4.127134385045092
gethomepage/homepage,-2,70,70,1.3857142857142857,7.767607142857142,0,JavaScript,28982,416,7026,1225,593,5,0,0,4.262679877041316,4.262679877041316,0.8694985703673961,2.171063923414572,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,63,4.1588830833596715
gethomepage/homepage,-1,49,49,0.6122448979591837,9.231026077097503,0,JavaScript,28982,416,7026,1225,593,6,0,0,3.912023005428146,3.912023005428146,0.4776275543563948,2.325424875725292,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,46,3.8501476017100584
gethomepage/homepage,1,26,26,0.9230769230769232,28.958482905982905,0,JavaScript,28982,416,7026,1225,593,8,1,1,3.295836866004329,3.295836866004329,0.653926467406664,3.399812520049914,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,39,3.6888794541139363
gethomepage/homepage,2,33,33,0.6666666666666666,44.62297138047138,0,JavaScript,28982,416,7026,1225,593,9,1,2,3.5263605246161616,3.5263605246161616,0.5108256237659906,3.820411348020374,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,31,3.4657359027997265
gethomepage/homepage,3,35,35,0.2,48.87069047619048,0,JavaScript,28982,416,7026,1225,593,10,1,3,3.58351893845611,3.58351893845611,0.1823215567939546,3.90943346498435,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,23,3.1780538303479458
gethomepage/homepage,4,23,23,0.6956521739130435,7.287342995169082,0,JavaScript,28982,416,7026,1225,593,11,1,4,3.1780538303479458,3.1780538303479458,0.5280674302004967,2.1147294105565484,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,28,3.367295829986474
gethomepage/homepage,5,38,38,0.9736842105263158,61.01194444444444,0,JavaScript,28982,416,7026,1225,593,12,1,5,3.6635616461296463,3.6635616461296463,0.6799019538099248,4.127327018819764,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,43,3.784189633918261
gethomepage/homepage,6,40,40,0.475,139.8549513888889,0,JavaScript,28982,416,7026,1225,593,13,1,6,3.713572066704308,3.713572066704308,0.3886579897917832,4.947730647335241,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,6.386879319362645,33,3.5263605246161616
lxc/incus-os,-6,46,46,0.6086956521739131,9.01742149758454,1,Go,886,19,2620,496,439,1,0,0,3.8501476017100575,3.8501476017100575,0.4754236967150748,2.3043257269698345,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,35,3.58351893845611
lxc/incus-os,-5,24,24,2.5416666666666665,21.772175925925925,1,Go,886,19,2620,496,439,2,0,0,3.218875824868201,3.218875824868201,1.2645974261423707,3.125539436595878,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,26,3.295836866004329
lxc/incus-os,-4,19,19,0.3684210526315789,5.6267251461988295,1,Go,886,19,2620,496,439,3,0,0,2.995732273553991,2.995732273553991,0.3136575588550416,1.8911107374004783,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,16,2.833213344056216
lxc/incus-os,-3,52,52,0.7884615384615384,22.054257478632472,1,Go,886,19,2620,496,439,4,0,0,3.970291913552122,3.970291913552122,0.5813557745718285,3.1378504586179057,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,57,4.060443010546419
lxc/incus-os,-2,38,38,0.8947368421052632,35.079152046783626,1,Go,886,19,2620,496,439,5,0,0,3.6635616461296463,3.6635616461296463,0.6390799592896697,3.5857151928889675,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,42,3.7612001156935624
lxc/incus-os,-1,47,46,0.9361702127659576,16.23336352657005,1,Go,886,19,2620,496,439,6,0,0,3.871201010907891,3.8501476017100575,0.6607119048067914,2.84684724487008,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,68,4.23410650459726
lxc/incus-os,1,88,88,1.1136363636363635,15.30006313131313,1,Go,886,19,2620,496,439,8,1,1,4.48863636973214,4.48863636973214,0.7484098592349946,2.791168980891912,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,64,4.174387269895637
lxc/incus-os,2,77,77,1.6623376623376624,8.976363636363637,1,Go,886,19,2620,496,439,9,1,2,4.356708826689592,4.356708826689592,0.9792045572847244,2.300218658832459,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,78,4.3694478524670215
lxc/incus-os,3,54,54,1.2592592592592593,15.112124485596713,1,Go,886,19,2620,496,439,10,1,3,4.007333185232471,4.007333185232471,0.8150369981689823,2.779572062212292,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,45,3.828641396489095
lxc/incus-os,4,56,56,1.0,11.07309523809524,1,Go,886,19,2620,496,439,11,1,4,4.04305126783455,4.04305126783455,0.6931471805599453,2.4909794428385794,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,59,4.0943445622221
lxc/incus-os,5,41,39,1.0975609756097562,11.597129629629627,1,Go,886,19,2620,496,439,12,1,5,3.737669618283368,3.688879454113936,0.7407752295491999,2.5334689808331854,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,22,3.1354942159291497
lxc/incus-os,6,5,5,0.6,1.1057222222222225,1,Go,886,19,2620,496,439,13,1,6,1.791759469228055,1.791759469228055,0.4700036292457356,0.7446585067323942,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,6.0867747269123065,0,0.0
turbowarp/extensions,-6,35,35,0.0571428571428571,147.78192857142855,0,JavaScript,170,67,1147,1801,970,1,0,0,3.58351893845611,3.58351893845611,0.0555698511548107,5.002481667250956,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,19,2.995732273553991
turbowarp/extensions,-5,30,30,0.8333333333333334,341.9998148148148,0,JavaScript,170,67,1147,1801,970,2,0,0,3.4339872044851463,3.4339872044851463,0.6061358035703156,5.837729907267295,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,53,3.9889840465642745
turbowarp/extensions,-4,92,92,1.2282608695652173,427.6805042270532,0,JavaScript,170,67,1147,1801,970,3,0,0,4.532599493153256,4.532599493153256,0.8012214020893679,6.060711896075917,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,88,4.48863636973214
turbowarp/extensions,-3,90,89,0.7444444444444445,1043.1241260923846,0,JavaScript,170,67,1147,1801,970,4,0,0,4.51085950651685,4.499809670330265,0.556436135018043,6.950933656099672,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,57,4.060443010546419
turbowarp/extensions,-2,73,73,0.8082191780821918,1070.020871385084,0,JavaScript,170,67,1147,1801,970,5,0,0,4.30406509320417,4.30406509320417,0.5923424814379797,6.976367558012378,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,79,4.382026634673881
turbowarp/extensions,-1,116,112,0.8620689655172413,1260.1256919642856,0,JavaScript,170,67,1147,1801,970,6,0,0,4.762173934797756,4.727387818712341,0.6216882165778004,7.1397600074164975,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,81,4.406719247264253
turbowarp/extensions,1,25,21,0.56,862.0472354497355,0,JavaScript,170,67,1147,1801,970,8,1,1,3.258096538021482,3.091042453358316,0.4446858212614457,6.76046942359454,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,36,3.6109179126442243
turbowarp/extensions,2,30,26,0.9333333333333332,600.4911858974359,0,JavaScript,170,67,1147,1801,970,9,1,2,3.4339872044851463,3.295836866004329,0.659245628884264,6.399411881770272,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,24,3.2188758248682006
turbowarp/extensions,3,31,28,1.096774193548387,1457.779732142857,0,JavaScript,170,67,1147,1801,970,10,1,3,3.4657359027997265,3.367295829986474,0.7404000654104909,7.28535556532475,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,17,2.8903717578961645
turbowarp/extensions,4,42,33,0.5714285714285714,1245.424537037037,0,JavaScript,170,67,1147,1801,970,11,1,4,3.7612001156935615,3.5263605246161616,0.4519851237430572,7.12803436124896,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,48,3.8918202981106265
turbowarp/extensions,5,49,46,1.0408163265306123,868.942179951691,0,JavaScript,170,67,1147,1801,970,12,1,5,3.912023005428146,3.8501476017100575,0.7133498878774648,6.768426749614434,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,6.878326468291325,43,3.784189633918261
