repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
gethomepage/homepage,-4,38,38,1.1578947368421053,33.7483552631579,0,JavaScript,28982,416,7026,1225,1,0,0,3.6635616461296463,3.6635616461296463,0.7691330875378674,3.548132240334068,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,30,3.4339872044851463
gethomepage/homepage,-3,41,41,0.4878048780487805,49.314668021680205,0,JavaScript,28982,416,7026,1225,2,0,0,3.737669618283368,3.737669618283368,0.3973017974690034,3.918296645364528,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,61,4.127134385045092
gethomepage/homepage,-2,70,70,1.3857142857142857,7.767607142857142,0,JavaScript,28982,416,7026,1225,3,0,0,4.262679877041316,4.262679877041316,0.8694985703673961,2.171063923414572,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,63,4.1588830833596715
gethomepage/homepage,-1,49,49,0.6122448979591837,9.231026077097503,0,JavaScript,28982,416,7026,1225,4,0,0,3.912023005428146,3.912023005428146,0.4776275543563948,2.325424875725292,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,46,3.8501476017100584
gethomepage/homepage,1,26,26,0.9230769230769232,28.958482905982905,0,JavaScript,28982,416,7026,1225,6,1,1,3.295836866004329,3.295836866004329,0.653926467406664,3.399812520049914,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,39,3.6888794541139363
gethomepage/homepage,2,33,33,0.6666666666666666,44.62297138047138,0,JavaScript,28982,416,7026,1225,7,1,2,3.5263605246161616,3.5263605246161616,0.5108256237659906,3.820411348020374,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,31,3.4657359027997265
gethomepage/homepage,3,35,35,0.2,48.87069047619048,0,JavaScript,28982,416,7026,1225,8,1,3,3.58351893845611,3.58351893845611,0.1823215567939546,3.90943346498435,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,23,3.1780538303479458
gethomepage/homepage,4,23,23,0.6956521739130435,7.287342995169082,0,JavaScript,28982,416,7026,1225,9,1,4,3.1780538303479458,3.1780538303479458,0.5280674302004967,2.1147294105565484,10.27446473018562,6.0330862217988015,8.857515151192198,7.111512116496157,28,3.367295829986474
lxc/incus-os,-4,19,19,0.3684210526315789,5.6267251461988295,1,Go,886,19,2620,496,1,0,0,2.995732273553991,2.995732273553991,0.3136575588550416,1.8911107374004783,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,16,2.833213344056216
lxc/incus-os,-3,52,52,0.7884615384615384,22.054257478632472,1,Go,886,19,2620,496,2,0,0,3.970291913552122,3.970291913552122,0.5813557745718285,3.1378504586179057,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,57,4.060443010546419
lxc/incus-os,-2,38,38,0.8947368421052632,35.079152046783626,1,Go,886,19,2620,496,3,0,0,3.6635616461296463,3.6635616461296463,0.6390799592896697,3.5857151928889675,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,42,3.7612001156935624
