repo_name,bin,merged,rejected,merged_latency_h,rejected_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after
0xPlaygrounds/rig,-6,26,6,128.79511752136753,741.937824074074,0,Rust,6560,172,958,574,1,0,0
0xPlaygrounds/rig,-5,14,3,209.2620634920635,107.79268518518518,0,Rust,6560,172,958,574,2,0,0
0xPlaygrounds/rig,-4,38,10,169.95293859649124,1634.9765555555555,0,Rust,6560,172,958,574,3,0,0
0xPlaygrounds/rig,-3,42,4,91.03230158730159,426.61458333333337,0,Rust,6560,172,958,574,4,0,0
0xPlaygrounds/rig,-2,44,5,46.85816287878788,2024.5433888888888,0,Rust,6560,172,958,574,5,0,0
0xPlaygrounds/rig,-1,50,6,97.6243,879.0221296296296,0,Rust,6560,172,958,574,6,0,0
0xPlaygrounds/rig,1,60,5,32.62881018518519,20.88811111111111,0,Rust,6560,172,958,574,8,1,1
0xPlaygrounds/rig,2,54,16,74.64897119341563,1991.4894444444444,0,Rust,6560,172,958,574,9,1,2
0xPlaygrounds/rig,3,24,4,60.119120370370375,57.05215277777778,0,Rust,6560,172,958,574,10,1,3
0xPlaygrounds/rig,4,68,11,101.20904003267974,83.0619696969697,0,Rust,6560,172,958,574,11,1,4
0xPlaygrounds/rig,5,58,12,128.03244731800766,70.71733796296296,0,Rust,6560,172,958,574,12,1,5
0xPlaygrounds/rig,6,42,11,114.98200396825396,340.73265151515153,0,Rust,6560,172,958,574,13,1,6
0xs34n/starknet.js,-6,25,3,403.08218888888894,129.89333333333335,0,TypeScript,492,58,1781,1535,1,0,0
0xs34n/starknet.js,-5,16,11,143.22644097222224,815.5367676767677,0,TypeScript,492,58,1781,1535,2,0,0
0xs34n/starknet.js,-4,36,4,213.85796296296297,1887.978402777778,0,TypeScript,492,58,1781,1535,3,0,0
0xs34n/starknet.js,-3,25,6,107.13153333333334,442.4209259259259,0,TypeScript,492,58,1781,1535,4,0,0
0xs34n/starknet.js,-2,13,10,272.5711965811966,659.0568611111111,0,TypeScript,492,58,1781,1535,5,0,0
0xs34n/starknet.js,-1,23,2,92.29590579710145,369.2634722222222,0,TypeScript,492,58,1781,1535,6,0,0
0xs34n/starknet.js,1,12,0,185.06789351851853,,0,TypeScript,492,58,1781,1535,8,1,1
0xs34n/starknet.js,2,19,3,335.0407894736842,830.7731481481482,0,TypeScript,492,58,1781,1535,9,1,2
0xs34n/starknet.js,3,6,0,18.316990740740742,,0,TypeScript,492,58,1781,1535,10,1,3
0xs34n/starknet.js,4,6,2,412.2518981481482,614.7790277777777,0,TypeScript,492,58,1781,1535,11,1,4
0xs34n/starknet.js,5,15,5,238.00433333333334,292.5007222222222,0,TypeScript,492,58,1781,1535,12,1,5
0xs34n/starknet.js,6,6,1,33.597314814814816,0.024444444444444446,0,TypeScript,492,58,1781,1535,13,1,6
567-labs/instructor,-6,39,12,111.70750712250712,561.4866666666667,0,Python,12536,241,1536,931,1,0,0
567-labs/instructor,-5,30,32,79.13312037037036,38.012135416666666,0,Python,12536,241,1536,931,2,0,0
567-labs/instructor,-4,25,38,79.61765555555556,121.90280701754385,0,Python,12536,241,1536,931,3,0,0
567-labs/instructor,-3,9,17,59.251913580246914,42.316045751633986,0,Python,12536,241,1536,931,4,0,0
567-labs/instructor,-2,1,14,258.06388888888887,126.30380952380952,0,Python,12536,241,1536,931,5,0,0
567-labs/instructor,-1,31,26,124.20444444444445,598.7334829059829,0,Python,12536,241,1536,931,6,0,0
567-labs/instructor,1,14,11,64.51954365079365,103.79171717171717,0,Python,12536,241,1536,931,8,1,1
567-labs/instructor,2,28,21,55.734613095238096,324.9495105820106,0,Python,12536,241,1536,931,9,1,2
567-labs/instructor,3,22,25,40.76751262626263,118.16043333333333,0,Python,12536,241,1536,931,10,1,3
567-labs/instructor,4,43,27,1.7162596899224807,50.12788065843621,0,Python,12536,241,1536,931,11,1,4
567-labs/instructor,5,10,17,77.6545,274.09395424836606,0,Python,12536,241,1536,931,12,1,5
567-labs/instructor,6,10,13,209.25711111111113,501.61367521367526,0,Python,12536,241,1536,931,13,1,6
Azure-Samples/azure-search-openai-demo,-6,36,29,368.37775462962964,42.837442528735636,0,Python,7601,111,894,1057,1,0,0
Azure-Samples/azure-search-openai-demo,-5,23,16,122.46385265700484,165.72444444444446,0,Python,7601,111,894,1057,2,0,0
Azure-Samples/azure-search-openai-demo,-4,15,19,889.8518703703703,302.69204678362576,0,Python,7601,111,894,1057,3,0,0
Azure-Samples/azure-search-openai-demo,-3,11,15,271.5763383838384,107.1347962962963,0,Python,7601,111,894,1057,4,0,0
Azure-Samples/azure-search-openai-demo,-2,22,30,82.4120202020202,267.70099999999996,0,Python,7601,111,894,1057,5,0,0
Azure-Samples/azure-search-openai-demo,-1,46,17,104.19254830917873,866.9124509803922,0,Python,7601,111,894,1057,6,0,0
Azure-Samples/azure-search-openai-demo,1,3,7,120.03046296296297,355.32269841269846,0,Python,7601,111,894,1057,8,1,1
Azure-Samples/azure-search-openai-demo,2,31,11,341.95267921146956,227.31820707070707,0,Python,7601,111,894,1057,9,1,2
Azure-Samples/azure-search-openai-demo,3,13,18,172.39480769230767,215.43907407407406,0,Python,7601,111,894,1057,10,1,3
Azure-Samples/azure-search-openai-demo,4,13,20,177.0122222222222,724.2719583333334,0,Python,7601,111,894,1057,11,1,4
Azure-Samples/azure-search-openai-demo,5,12,11,117.27293981481482,174.37742424242424,0,Python,7601,111,894,1057,12,1,5
Azure-Samples/azure-search-openai-demo,6,17,10,228.4715522875817,541.0551388888889,0,Python,7601,111,894,1057,13,1,6
ClassicOldSong/Apollo,-6,2,0,0.5019444444444444,,0,C++,6965,159,3337,520,1,0,0
ClassicOldSong/Apollo,-5,1,0,65.66833333333334,,0,C++,6965,159,3337,520,2,0,0
ClassicOldSong/Apollo,-4,3,1,305.6339814814815,40.57388888888889,0,C++,6965,159,3337,520,3,0,0
ClassicOldSong/Apollo,-3,1,0,37.09972222222222,,0,C++,6965,159,3337,520,4,0,0
ClassicOldSong/Apollo,-2,4,1,196.46972222222223,24.112222222222222,0,C++,6965,159,3337,520,5,0,0
ClassicOldSong/Apollo,-1,2,0,214.80819444444447,,0,C++,6965,159,3337,520,6,0,0
ClassicOldSong/Apollo,2,0,2,,0.38069444444444445,0,C++,6965,159,3337,520,9,1,2
ClassicOldSong/Apollo,3,2,0,1.1034722222222224,,0,C++,6965,159,3337,520,10,1,3
ClassicOldSong/Apollo,4,1,10,2.4741666666666666,1.0868888888888888,0,C++,6965,159,3337,520,11,1,4
ClassicOldSong/Apollo,5,1,3,10.929444444444444,1.0602777777777777,0,C++,6965,159,3337,520,12,1,5
ClassicOldSong/Apollo,6,0,2,,7.6843055555555555,0,C++,6965,159,3337,520,13,1,6
LadybirdBrowser/ladybird,-6,242,15,34.88053604224059,26.76816666666667,0,C++,60953,425,75729,580,1,0,0
LadybirdBrowser/ladybird,-5,325,17,23.477173504273505,132.68415032679738,0,C++,60953,425,75729,580,2,0,0
LadybirdBrowser/ladybird,-4,211,15,41.33969852553976,348.1967222222222,0,C++,60953,425,75729,580,3,0,0
LadybirdBrowser/ladybird,-3,252,17,40.7526917989418,364.91852941176467,0,C++,60953,425,75729,580,4,0,0
LadybirdBrowser/ladybird,-2,389,26,44.67364824335904,576.864391025641,0,C++,60953,425,75729,580,5,0,0
LadybirdBrowser/ladybird,-1,414,33,50.4829562533548,438.42079124579124,0,C++,60953,425,75729,580,6,0,0
