repo_name,L1_hit,L2_hit
0no-co/gql.tada,True,False
0x2E/fusion,True,False
0xPlaygrounds/rig,True,True
0xs34n/starknet.js,True,True
143mailliw/hummingbird,True,True
143mailliw/muzak,True,True
23blocks-OS/ai-maestro,False,True
567-labs/instructor,True,False
AI-Engineer-Foundation/agent-protocol,False,True
AI-Engineers-Foundation/agent-protocol,False,True
AI-SDC/ACRO,True,True
AI4Finance-Foundation/FinGPT,False,True
AIGNE-io/aigne-framework,False,True
AIHawk-app/Auto_Jobs_Applier,False,True
AIHawk-co/Auto_Jobs_Applier,False,True
AIHawk-co/Auto_Jobs_Applier_AI_Agent,False,True
AJaySi/AI-Writer,True,True
AJaySi/ALwrity,True,True
Agent-Field/agentfield,True,True
Aidoku-Community/sources,True,True
Alaydriem/bedrock-voice-chat,True,True
Amansingh0807/GenForm,True,True
AndrewAltimit/template-repo,False,True
AndyMik90/Aperant,True,True
AndyMik90/Auto-Claude,True,True
Arcadia-Science/ProteinCartography,False,True
Arindam200/awesome-ai-apps,False,True
ArshdeepGrover/ai-tools-manager,True,True
AutoMaker-Org/automaker,False,True
Ayushjhawar8/Flavor-ai,True,True
AztecProtocol/aztec-packages,True,True
Azure-Samples/AI-Gateway,False,True
Azure-Samples/art-voice-agent-accelerator,False,True
Azure-Samples/azure-ai-content-understanding-python,False,True
Azure-Samples/azure-ai-travel-agents,False,True
Azure-Samples/azure-search-openai-demo,True,False
Azure-Samples/azureai-samples,False,True
Azure/aks-mcp,False,True
Be-Secure/BLIman,False,True
BeechatNetworkSystemsLtd/Reticulum-rs,True,True
BlockstreamResearch/SimplicityHL,True,True
BlockstreamResearch/simfony,True,True
BlueSquare23/web-lgsm,True,False
BoundaryML/baml,False,True
BrainDriveAI/BrainDrive-Core,False,True
C-Loftus/talon-ai-tools,False,True
CAREamics/careamics,True,True
CIRISAI/CIRISAgent,False,True
Canner/WrenAI,False,True
CedarCopilot/cedar-OS,False,True
ChrisTitusTech/linutil,True,False
ClassicOldSong/Apollo,True,True
ClickHouse/spark-clickhouse-connector,True,False
Cloud-Code-AI/kaizen,False,True
CodeWithCJ/SparkyFitness,True,False
Codium-ai/cover-agent,False,True
ConardLi/easy-llm-cli,True,True
Cosmian/kms,True,False
CrociDB/bulletty,False,True
CurvineIO/curvine,False,True
DPDK/grout,False,True
DSACMS/iv-cbv-payroll,True,False
Dark-Alex-17/managarr,True,True
DayuanJiang/next-ai-draw-io,True,True
DenisovAV/flutter_gemma,False,True
Dhravya/supermemory,True,True
Dialectica-ai/dialectica-ai,False,True
Dispatcharr/Dispatcharr,True,False
Div99/agent-protocol,False,True
DrKJeff16/wezterm-types,True,False
EFForg/rayhunter,True,True
ExtremeFLOW/neko,True,True
FilOzone/synapse-sdk,True,False
FissionAI/FloTorch,False,True
Floof-Station/Panta-Rhei,True,False
FullAgent/fulling,True,True
FullstackAgent/FullstackAgent,True,True
FullstackAgent/fulling,True,True
FuzzingLabs/fuzzforge_ai,False,True
GLips/Figma-Context-MCP,True,False
