repo_name,conditions
0x2E/fusion,"human_review,meet_quality"
0xPlaygrounds/rig,"human_review,explicit_declaration,meet_quality,follow_project_style"
0xs34n/starknet.js,"meet_quality,human_review"
143mailliw/hummingbird,"human_review,explicit_declaration,meet_quality,limited_scope"
143mailliw/muzak,"human_review,explicit_declaration,meet_quality,limited_scope"
567-labs/instructor,
abhigyanpatwari/GitNexus,
aboutcode-org/dejacode,"human_review,explicit_declaration,meet_quality"
abstractqqq/polars_ds_extension,"human_review,explicit_declaration"
ace-step/ACE-Step-1.5,"human_review,supplement_prompts_tests,meet_quality"
adil192/saber,"no_declaration,limited_scope"
adityachandelgit/BookLore,"human_review,meet_quality,follow_project_style"
adobe/helix-website,explicit_declaration
Agent-Field/agentfield,"human_review,meet_quality,explicit_declaration"
agno-agi/agno,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests"
AI-SDC/ACRO,follow_ai_rules
Aidoku-Community/sources,"human_review,no_declaration"
alan-turing-institute/autoemulate,"human_review,meet_quality"
Alaydriem/bedrock-voice-chat,"human_review,explicit_declaration,limited_scope,supplement_prompts_tests,meet_quality,follow_project_style"
alexanderwanyoike/the0,"human_review,meet_quality"
alfaArghya/alfa-leetcode-api,"explicit_declaration,human_review,meet_quality"
alibaba/page-agent,"limited_scope,human_review,follow_project_style"
alipay/fury,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests,follow_ai_rules"
alpenlabs/alpen,"explicit_declaration,human_review"
amachino/qubex,"human_review,meet_quality"
Amansingh0807/GenForm,explicit_declaration
AndyMik90/Aperant,"explicit_declaration,human_review,supplement_prompts_tests"
AndyMik90/Auto-Claude,"explicit_declaration,human_review,supplement_prompts_tests"
ansible-collections/community.clickhouse,"explicit_declaration,human_review,follow_ai_rules"
ansible/terraform-provider-aap,"human_review,explicit_declaration,meet_quality,follow_ai_rules"
antiwork/gumroad,"explicit_declaration,human_review,supplement_prompts_tests"
antoniorodr/Cronboard,"human_review,meet_quality,no_declaration"
anza-xyz/kit,"human_review,meet_quality,no_declaration"
anza-xyz/solana-web3.js,"human_review,meet_quality,no_declaration"
apache/fory,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests,follow_ai_rules"
apache/fury,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests,follow_ai_rules"
apache/incubator-fury,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests,follow_ai_rules"
apache/polaris,"human_review,explicit_declaration,follow_ai_rules"
apollographql/apollo-mcp-server,"human_review,meet_quality"
apple/containerization,"human_review,meet_quality,limited_scope"
arabcoders/watchstate,"human_review,meet_quality,explicit_declaration"
arabcoders/ytptube,"human_review,meet_quality,explicit_declaration"
aristocratos/btop,"explicit_declaration,human_review"
arpanghosh8453/garmin-grafana,"human_review,meet_quality"
ashwin-nat/pits-n-giggles,human_review
astral-sh/ruff,"human_review,explicit_declaration,follow_ai_rules"
astral-sh/uv,"human_review,explicit_declaration,follow_ai_rules"
autobrr/netronome,"human_review,meet_quality"
avateam-it-systemhaus/mkdocs-kroki-plugin,"explicit_declaration,human_review"
awslabs/aws-sdk-rust,"explicit_declaration,human_review"
axllent/mailpit,human_review
Azure-Samples/azure-search-openai-demo,explicit_declaration
backstage/community-plugins,"human_review,explicit_declaration"
bbilly1/tubearchivist,"human_review,meet_quality"
BeechatNetworkSystemsLtd/Reticulum-rs,"limited_scope,human_review"
bettergovph/bettergov,"explicit_declaration,human_review"
beyond-all-reason/bar-lobby,"explicit_declaration,human_review,supplement_prompts_tests"
beyond-all-reason/tachyon,"explicit_declaration,human_review,supplement_prompts_tests"
biomejs/biome,human_review
bknd-io/bknd,"human_review,explicit_declaration,meet_quality"
block-open-source/goose,"human_review,meet_quality,limited_scope"
block/elasticgraph,"human_review,meet_quality,follow_ai_rules"
block/goose,"human_review,meet_quality,limited_scope"
BlockstreamResearch/simfony,"explicit_declaration,human_review,follow_ai_rules"
BlockstreamResearch/SimplicityHL,"explicit_declaration,human_review,follow_ai_rules"
blueshift-gg/sbpf,"human_review,meet_quality,limited_scope"
BlueSquare23/web-lgsm,"human_review,meet_quality,follow_project_style"
bmad-code-org/BMAD-METHOD,"human_review,meet_quality"
bmadcode/BMAD-METHOD,"human_review,meet_quality"
booklore-app/BookLore,"human_review,explicit_declaration,meet_quality,supplement_prompts_tests"
boshen/oxc,"explicit_declaration,human_review,meet_quality"
boxyhq/jackson,"explicit_declaration,human_review,meet_quality,supplement_prompts_tests"
bpg/terraform-provider-proxmox,"human_review,meet_quality,follow_ai_rules"
bscript/rep,"human_review,meet_quality,limited_scope"
burn-rs/burn,"human_review,meet_quality,supplement_prompts_tests"
c2siorg/b0bot,"explicit_declaration,human_review,follow_ai_rules"
cachebag/nmrs,"explicit_declaration,human_review"
camel-ai/camel,"human_review,meet_quality"
canonical/concierge,"human_review,meet_quality"
CAREamics/careamics,explicit_declaration
carlos-algms/agentic.nvim,"human_review,supplement_prompts_tests"
cel-rust/cel-rust,"explicit_declaration,human_review,meet_quality"
cerbos/cerbos,"human_review,meet_quality"
charliermarsh/ruff,"human_review,explicit_declaration,follow_ai_rules"
checkpoint-restore/checkpointctl,
ChrisTitusTech/linutil,"human_review,meet_quality"
cjpais/Handy,explicit_declaration
clarkmcc/cel-rust,"explicit_declaration,human_review,meet_quality"
ClassicOldSong/Apollo,"human_review,meet_quality"
ClickHouse/spark-clickhouse-connector,human_review
clidey/whodb,"human_review,meet_quality"
cloudshipai/station,"explicit_declaration,human_review,supplement_prompts_tests"
cmackenzie1/torii-rs,"explicit_declaration,human_review,meet_quality"
cmintey/wishlist,"explicit_declaration,human_review"
comet-ml/comet-llm,"explicit_declaration,human_review,supplement_prompts_tests"
comet-ml/opik,"supplement_prompts_tests,human_review"
commetchat/commet,"human_review,meet_quality"
compio-rs/compio,human_review
